interation,train_acc,test_acc,train_loss,test_loss,adv_source_acc,adv_target_acc
10,0.9233449101448059,0.9225298166275024,4.30283307650825e-06,4.294952304917388e-06,0.0,0.0
20,0.9607595205307007,0.960170567035675,3.2868492780835368e-06,3.283234946138691e-06,0.0,0.0
30,0.969073474407196,0.9684532284736633,2.612894832054735e-06,2.611498985061189e-06,0.0,0.0
40,0.9715898633003235,0.9710476994514465,2.141730647053919e-06,2.1418773030745797e-06,0.0,0.0
50,0.9727329611778259,0.9721283912658691,1.8222395965494798e-06,1.823642264753289e-06,0.0,0.0
60,0.9734625220298767,0.9729671478271484,1.6205093515964109e-06,1.6228078720814665e-06,0.0,0.0
70,0.9740985035896301,0.9736967086791992,1.4811741948506096e-06,1.4841142501609283e-06,0.0,0.0
80,0.9746095538139343,0.9742975234985352,1.3816627415508265e-06,1.3850042250851402e-06,0.0,0.0
90,0.975089430809021,0.9747969508171082,1.3065438224657555e-06,1.3101850981911412e-06,0.0,0.0
100,0.9755263924598694,0.9752690196037292,1.247612999577541e-06,1.2514760783233214e-06,0.0,0.0
110,0.9761466979980469,0.975920557975769,1.1964453960899846e-06,1.2003768006252358e-06,0.0,0.0
120,0.9766461253166199,0.9764199256896973,1.1512596529428265e-06,1.1551626357686473e-06,0.0,0.0
130,0.9772391319274902,0.9769192934036255,1.1112883839814458e-06,1.1149609235872049e-06,0.0,0.0
140,0.9777112007141113,0.9775435328483582,1.0780267984955572e-06,1.0813720336955157e-06,0.0,0.0
150,0.9782261848449707,0.9780896902084351,1.0477426712895976e-06,1.05075639567076e-06,0.0,0.0
160,0.978780210018158,0.978600800037384,1.018300281430129e-06,1.0209100764768664e-06,0.0,0.0
170,0.9792912602424622,0.9791586995124817,9.895068160403753e-07,9.917515626511886e-07,0.0,0.0
180,0.9798374772071838,0.9797790050506592,9.6095493518078e-07,9.6278120054194e-07,0.0,0.0
190,0.9805553555488586,0.9805359244346619,9.304800983045425e-07,9.317414537690638e-07,0.0,0.0
200,0.981148362159729,0.9810547828674316,9.041018529387657e-07,9.04800060652633e-07,0.0,0.0
210,0.9815970063209534,0.9814059138298035,8.800746513770719e-07,8.803525020084635e-07,0.0,0.0
220,0.9819949269294739,0.9817726612091064,8.588215791860421e-07,8.587910542701138e-07,0.0,0.0
230,0.982455313205719,0.9822564125061035,8.395259669669031e-07,8.391244818994892e-07,0.0,0.0
240,0.9828962087631226,0.9827519059181213,8.196910243896127e-07,8.189238087652484e-07,0.0,0.0
250,0.9831458926200867,0.9829352498054504,8.023974942261702e-07,8.014033596737136e-07,0.0,0.0
260,0.9834150671958923,0.9832512736320496,7.857443620196136e-07,7.844554374969448e-07,0.0,0.0
270,0.983684241771698,0.9835751056671143,7.686151093366789e-07,7.669523256481625e-07,0.0,0.0
280,0.9839495420455933,0.9837740659713745,7.558491574854997e-07,7.538131967521622e-07,0.0,0.0
290,0.9842382669448853,0.984093964099884,7.447023904205707e-07,7.422271437462769e-07,0.0,0.0
300,0.9845152497291565,0.9843241572380066,7.323501449718606e-07,7.295042223631754e-07,0.0,0.0
310,0.9848468899726868,0.9846752882003784,7.209275167952001e-07,7.176848839662853e-07,0.0,0.0
320,0.9851472973823547,0.9850381016731262,7.093286171766522e-07,7.056844424369046e-07,0.0,0.0
330,0.9853501915931702,0.9852253794670105,7.00058023994643e-07,6.96160441293614e-07,0.0,0.0
340,0.9855452179908752,0.9853697419166565,6.872178346384317e-07,6.831031100773544e-07,0.0,0.0
350,0.9855803847312927,0.9853268265724182,6.745206633240741e-07,6.702456971652282e-07,0.0,0.0
360,0.9855998754501343,0.9854282736778259,6.650448653999774e-07,6.604997793147049e-07,0.0,0.0
370,0.9856895804405212,0.9855648279190063,6.562817702615575e-07,6.514976575999754e-07,0.0,0.0
380,0.9857442378997803,0.9857013821601868,6.464430271080346e-07,6.414257427422854e-07,0.0,0.0
